Geom;Label;geo_point_2d
"{""coordinates"": [[-123.05037976683361, 49.273699548347125], [-123.05038495064429, 49.27340361337521]], ""type"": ""LineString""}";3' SEWER EASE.;49.27355158086117, -123.05038235873896
"{""coordinates"": [[-123.05053020844352, 49.26378313340268], [-123.0505353650568, 49.26344895931109]], ""type"": ""LineString""}";3' SEWER EASE.;49.263616046356894, -123.05053278675015
"{""coordinates"": [[-123.05366051181896, 49.2655924472919], [-123.05366289845773, 49.2652582744499]], ""type"": ""LineString""}";4' SEWER EASE.;49.2654253608709, -123.05366170513837
"{""coordinates"": [[-123.04835122670328, 49.2604648795813], [-123.04715969250158, 49.26045820289415]], ""type"": ""LineString""}";10' EASE.;49.260461541237724, -123.04775545960241
"{""coordinates"": [[-123.04665865765772, 49.26253585847123], [-123.04665828592434, 49.2628704802682]], ""type"": ""LineString""}";4' SEWER EASEMENT;49.262703169369715, -123.04665847179102
"{""coordinates"": [[-123.04943129603541, 49.260991065024854], [-123.04839296717822, 49.26098568468911]], ""type"": ""LineString""}";10' EASE.;49.26098837485698, -123.04891213160681
"{""coordinates"": [[-123.05121437330712, 49.25688655596653], [-123.05121433803377, 49.256852464118154]], ""type"": ""LineString""}";;49.25686951004234, -123.05121435567044
"{""coordinates"": [[-123.05121433803377, 49.256852464118154], [-123.05152804558246, 49.25653749210693]], ""type"": ""LineString""}";R.O.W;49.25669497811254, -123.05137119180812
"{""coordinates"": [[-123.05152804558246, 49.25653749210693], [-123.05152776607376, 49.256268985048436]], ""type"": ""LineString""}";;49.25640323857768, -123.05152790582811
"{""coordinates"": [[-123.0508901180089, 49.25560812827437], [-123.05284412450335, 49.25540440892686]], ""type"": ""LineString""}";;49.25550626860061, -123.05186712125612
"{""coordinates"": [[-123.05406706699063, 49.25526396747285], [-123.05406813370826, 49.25498242565884]], ""type"": ""LineString""}";5' SEWER EASE.;49.25512319656585, -123.05406760034946
"{""coordinates"": [[-123.0453904959569, 49.25673556837288], [-123.04529402158515, 49.25673497656914]], ""type"": ""LineString""}";;49.25673527247101, -123.04534225877103
"{""coordinates"": [[-123.04615997150825, 49.254474018959364], [-123.046341780546, 49.25447538541279]], ""type"": ""LineString""}";;49.25447470218607, -123.04625087602713
"{""coordinates"": [[-123.04646752140624, 49.25447623443088], [-123.04690725757385, 49.25447964582711]], ""type"": ""LineString""}";5' P.U. EASE.;49.25447794012899, -123.04668738949005
