Geom;Label;geo_point_2d
"{""coordinates"": [[-123.16780753406239, 49.25672098370588], [-123.16780896726432, 49.2565356800862]], ""type"": ""LineString""}";;49.25662833189604, -123.16780825066336
"{""coordinates"": [[-123.17586776574748, 49.25597987902512], [-123.17583503952329, 49.256051890610564]], ""type"": ""LineString""}";;49.25601588481784, -123.17585140263539
"{""coordinates"": [[-123.16847515998836, 49.25675470666587], [-123.16847533764731, 49.25673826314436], [-123.16838038593474, 49.25673730414735]], ""type"": ""LineString""}";EASE.;49.25673906808359, -123.16843485683432
"{""coordinates"": [[-123.17242651451728, 49.24945722999402], [-123.1723587786686, 49.249537838391404]], ""type"": ""LineString""}";;49.249497534192706, -123.17239264659294
"{""coordinates"": [[-123.17237707628149, 49.24954428765906], [-123.17239592383847, 49.24955082605551]], ""type"": ""LineString""}";;49.24954755685729, -123.17238650005999
"{""coordinates"": [[-123.17559325144633, 49.253753969730134], [-123.17558291477381, 49.253745439975646]], ""type"": ""LineString""}";;49.25374970485289, -123.17558808311009
"{""coordinates"": [[-123.17558291477381, 49.253745439975646], [-123.1755205059224, 49.25377836737675]], ""type"": ""LineString""}";P.U. EASE.;49.2537619036762, -123.17555171034812
"{""coordinates"": [[-123.17206869076148, 49.25106972678025], [-123.17214142463274, 49.25104263274328]], ""type"": ""LineString""}";20' P.U. EASE.;49.25105617976176, -123.17210505769711
"{""coordinates"": [[-123.17119823258334, 49.24910330419506], [-123.17135519683383, 49.24919617214754]], ""type"": ""LineString""}";;49.2491497381713, -123.17127671470858
"{""coordinates"": [[-123.17145344383523, 49.24935533194636], [-123.17152164432771, 49.24944419355712]], ""type"": ""LineString""}";;49.249399762751736, -123.17148754408147
"{""coordinates"": [[-123.16879617729646, 49.245244275697935], [-123.16879398871006, 49.24560183960146]], ""type"": ""LineString""}";5' SEW. EASE.;49.2454230576497, -123.16879508300326
"{""coordinates"": [[-123.1716534773126, 49.24863306856067], [-123.17164381693601, 49.24862093934877]], ""type"": ""LineString""}";;49.248627003954724, -123.1716486471243
"{""coordinates"": [[-123.16931082315163, 49.24906698332515], [-123.16896067070512, 49.24934050123161]], ""type"": ""LineString""}";4' P.U. EASE.;49.24920374227838, -123.16913574692838
"{""coordinates"": [[-123.17175238953172, 49.24792641791816], [-123.17175580675834, 49.247568735330454]], ""type"": ""LineString""}";R.O.W.;49.247747576624306, -123.17175409814503
"{""coordinates"": [[-123.1673101781207, 49.24280421164684], [-123.16730658820191, 49.24316087817524]], ""type"": ""LineString""}";;49.242982544911044, -123.16730838316131
"{""coordinates"": [[-123.16879915093463, 49.244705897328686], [-123.16879792403724, 49.24495056961703]], ""type"": ""LineString""}";5' SEW. EASE.;49.24482823347286, -123.16879853748594
"{""coordinates"": [[-123.1724016881709, 49.244126627229406], [-123.17240523240396, 49.243771309943114]], ""type"": ""LineString""}";;49.24394896858626, -123.17240346028743
"{""coordinates"": [[-123.17240641528066, 49.24371643720926], [-123.172409983773, 49.24336021134188]], ""type"": ""LineString""}";6' R.O.W.;49.24353832427557, -123.17240819952683
"{""coordinates"": [[-123.17144554064396, 49.243175912872346], [-123.17144910072334, 49.24281923725415]], ""type"": ""LineString""}";6' R.O.W.;49.24299757506325, -123.17144732068364
"{""coordinates"": [[-123.17144547606954, 49.242764371655994], [-123.17144973683087, 49.24240770396766]], ""type"": ""LineString""}";7' R.O.W.;49.242586037811826, -123.1714476064502
"{""coordinates"": [[-123.17568690175706, 49.24494022686427], [-123.17569086128879, 49.2443213393632]], ""type"": ""LineString""}";;49.244630783113735, -123.1756888815229
"{""coordinates"": [[-123.17145521643626, 49.24181579083954], [-123.171458793226, 49.24146001463627]], ""type"": ""LineString""}";7' R.O.W.;49.24163790273791, -123.17145700483113
"{""coordinates"": [[-123.16808928809671, 49.23801351715482], [-123.16809215162209, 49.23765099542986]], ""type"": ""LineString""}";6' SEW. & P.U. EASE.;49.237832256292336, -123.1680907198594
"{""coordinates"": [[-123.16716082277254, 49.23605928780862], [-123.16744459948761, 49.23609125075292]], ""type"": ""LineString""}";;49.236075269280775, -123.16730271113008
"{""coordinates"": [[-123.16744459948761, 49.23609125075292], [-123.16914321431432, 49.23609775348498]], ""type"": ""LineString""}";EASEMENT;49.236094502118945, -123.16829390690097
"{""coordinates"": [[-123.17129729098896, 49.23612739420388], [-123.17124234326691, 49.236127475666784]], ""type"": ""LineString""}";;49.236127434935334, -123.17126981712794
"{""coordinates"": [[-123.16839704152402, 49.23334387595101], [-123.16857053134427, 49.233344243596136]], ""type"": ""LineString""}";;49.23334405977358, -123.16848378643414
"{""coordinates"": [[-123.1701978799482, 49.228827181272564], [-123.16970395856441, 49.22882378809546]], ""type"": ""LineString""}";20' P.U. EASE.;49.22882548468401, -123.16995091925631
"{""coordinates"": [[-123.17690982682515, 49.23067942263253], [-123.17691002480166, 49.23035019574892]], ""type"": ""LineString""}";5' P.U. EASE.;49.23051480919072, -123.1769099258134
"{""coordinates"": [[-123.17493709368388, 49.22795998338849], [-123.17466100011629, 49.22795668611991]], ""type"": ""LineString""}";;49.2279583347542, -123.17479904690009
"{""coordinates"": [[-123.17549089981704, 49.22791177432798], [-123.1757669794497, 49.22791506963421]], ""type"": ""LineString""}";R.O.W.;49.22791342198109, -123.17562893963336
"{""coordinates"": [[-123.17211739948382, 49.228100110490566], [-123.17214540718322, 49.22805734124714]], ""type"": ""LineString""}";;49.228078725868855, -123.17213140333352
"{""coordinates"": [[-123.17214540718322, 49.22805734124714], [-123.1721446032564, 49.228023610200275]], ""type"": ""LineString""}";;49.2280404757237, -123.17214500521982
"{""coordinates"": [[-123.1721446032564, 49.228023610200275], [-123.17211908316732, 49.22799171503525]], ""type"": ""LineString""}";;49.22800766261776, -123.17213184321186
"{""coordinates"": [[-123.17210526506229, 49.2277700023273], [-123.17210192263536, 49.22799398941897]], ""type"": ""LineString""}";;49.22788199587313, -123.17210359384882
"{""coordinates"": [[-123.17212744427698, 49.228026334348726], [-123.17212823100562, 49.22805511802541]], ""type"": ""LineString""}";;49.22804072618707, -123.1721278376413
"{""coordinates"": [[-123.17210091002782, 49.22809788624161], [-123.1720992372679, 49.22820943901642]], ""type"": ""LineString""}";R.O.W.;49.22815366262901, -123.17210007364787
"{""coordinates"": [[-123.16803650361271, 49.22512970175992], [-123.16859070747357, 49.22521783948342]], ""type"": ""LineString""}";10' R.O.W.;49.225173770621666, -123.16831360554316
"{""coordinates"": [[-123.16683716716642, 49.22607856998478], [-123.16645576221153, 49.22603595191172]], ""type"": ""LineString""}";;49.22605726094825, -123.16664646468897
"{""coordinates"": [[-123.16755813281515, 49.22246409917425], [-123.16822993849927, 49.2233352054764]], ""type"": ""LineString""}";;49.222899652325324, -123.16789403565721
"{""coordinates"": [[-123.17125804295503, 49.22581936043835], [-123.17121618752596, 49.226067610936326]], ""type"": ""LineString""}";;49.22594348568734, -123.1712371152405
"{""coordinates"": [[-123.16923148913973, 49.22564281952024], [-123.16870519879537, 49.225558143272416]], ""type"": ""LineString""}";R.O.W.;49.22560048139633, -123.16896834396755
"{""coordinates"": [[-123.16837653098713, 49.21599882984309], [-123.16840742653292, 49.21599878480365]], ""type"": ""LineString""}";;49.21599880732337, -123.16839197876003
"{""coordinates"": [[-123.16607728924201, 49.2724571545506], [-123.16606150130585, 49.27246347387873]], ""type"": ""LineString""}";;49.27246031421467, -123.16606939527394
"{""coordinates"": [[-123.16495586176991, 49.272965694172235], [-123.1649304640089, 49.27297607490143]], ""type"": ""LineString""}";;49.27297088453683, -123.16494316288941
"{""coordinates"": [[-123.15799868617769, 49.269352115601336], [-123.15799302464617, 49.26951629473129]], ""type"": ""LineString""}";5' EASE.;49.26943420516632, -123.15799585541194
"{""coordinates"": [[-123.15555193343147, 49.26914852787765], [-123.15554748426723, 49.26926367242505]], ""type"": ""LineString""}";EASE.;49.26920610015135, -123.15554970884935
"{""coordinates"": [[-123.16371306304502, 49.27086120057725], [-123.1637186938309, 49.270693423163046]], ""type"": ""LineString""}";EASE.;49.27077731187015, -123.16371587843796
"{""coordinates"": [[-123.1637186938309, 49.270693423163046], [-123.16370494581197, 49.270692992882275]], ""type"": ""LineString""}";;49.270693208022664, -123.16371181982143
"{""coordinates"": [[-123.16371157351608, 49.2706187731077], [-123.16372806932806, 49.270618749734176]], ""type"": ""LineString""}";;49.270618761420934, -123.16371982142208
"{""coordinates"": [[-123.16288817642892, 49.271606862880695], [-123.16291292212314, 49.27160727775308]], ""type"": ""LineString""}";;49.27160707031689, -123.16290054927603
"{""coordinates"": [[-123.16291292212314, 49.27160727775308], [-123.16291734539656, 49.27148941645009]], ""type"": ""LineString""}";EASE.;49.271548347101586, -123.16291513375985
"{""coordinates"": [[-123.16291734539656, 49.27148941645009], [-123.16289259976128, 49.27148900157858]], ""type"": ""LineString""}";;49.271489209014334, -123.16290497257893
"{""coordinates"": [[-123.16374673219443, 49.26482297927487], [-123.16375827989421, 49.2645078967724]], ""type"": ""LineString""}";5' SEWER EASE.;49.264665438023634, -123.16375250604432
"{""coordinates"": [[-123.15556514352623, 49.26419930399325], [-123.15557474645728, 49.26419344417841]], ""type"": ""LineString""}";;49.26419637408583, -123.15556994499175
"{""coordinates"": [[-123.15546039297105, 49.26432133004502], [-123.15547592257843, 49.26432067948437], [-123.15549103532017, 49.26431859024946], [-123.15550573147769, 49.26431515229211], [-123.15551946154203, 49.264310456304216]], ""type"": ""LineString""}";;49.26431765591037, -123.15549025560503
"{""coordinates"": [[-123.16390260264642, 49.256739389525414], [-123.16391407533729, 49.25646888698185]], ""type"": ""LineString""}";10' EASE.;49.256604138253635, -123.16390833899186
"{""coordinates"": [[-123.15535654905203, 49.249529740559865], [-123.15521270215856, 49.249667111166936]], ""type"": ""LineString""}";;49.2495984258634, -123.1552846256053
"{""coordinates"": [[-123.1634090155884, 49.252325520948084], [-123.1633963770882, 49.252659711486366]], ""type"": ""LineString""}";5' SEW. EASE.;49.252492616217225, -123.1634026963383
"{""coordinates"": [[-123.16257037246838, 49.252827756163256], [-123.16255636776212, 49.253161948500804]], ""type"": ""LineString""}";5' SEW. EASE.;49.25299485233202, -123.16256337011524
"{""coordinates"": [[-123.15520082424082, 49.24590845089836], [-123.15617468541934, 49.24625390487211]], ""type"": ""LineString""}";;49.24608117788524, -123.15568775483007
"{""coordinates"": [[-123.15520051729465, 49.24581490085305], [-123.15623491185016, 49.24618141179323]], ""type"": ""LineString""}";G.V.S. & D.D. EASEMENT;49.24599815632314, -123.1557177145724
"{""coordinates"": [[-123.15611976819118, 49.244968550768164], [-123.1565772678128, 49.24582562748203]], ""type"": ""LineString""}";;49.24539708912509, -123.15634851800199
"{""coordinates"": [[-123.15760066620066, 49.247892690203884], [-123.1569012375939, 49.247881498642705]], ""type"": ""LineString""}";R.O.W.;49.24788709442329, -123.15725095189728
"{""coordinates"": [[-123.15693712565148, 49.248834746649756], [-123.1568877867229, 49.24861462837342]], ""type"": ""LineString""}";;49.24872468751158, -123.1569124561872
"{""coordinates"": [[-123.1568547058079, 49.24883342833706], [-123.1568264263634, 49.248832971990275]], ""type"": ""LineString""}";;49.248833200163666, -123.15684056608565
"{""coordinates"": [[-123.15569820493292, 49.24937456265903], [-123.15568718698363, 49.249366481799264]], ""type"": ""LineString""}";;49.24937052222914, -123.15569269595827
"{""coordinates"": [[-123.1554703691483, 49.24945717584238], [-123.15545459848005, 49.249467091817536]], ""type"": ""LineString""}";;49.24946213382996, -123.15546248381416
"{""coordinates"": [[-123.1651923675981, 49.24609688123064], [-123.16522807581133, 49.24609233254877]], ""type"": ""LineString""}";R.O.W.;49.246094606889706, -123.16521022170471
"{""coordinates"": [[-123.16495108658084, 49.24585030672969], [-123.16492219590499, 49.24583910392948]], ""type"": ""LineString""}";;49.24584470532959, -123.16493664124292
"{""coordinates"": [[-123.16232398947318, 49.246668141629726], [-123.16261102082208, 49.24642260881512]], ""type"": ""LineString""}";3' SEW. EASE.;49.246545375222425, -123.16246750514765
"{""coordinates"": [[-123.16187460449856, 49.24627091287908], [-123.16186235200949, 49.2462635539524]], ""type"": ""LineString""}";;49.24626723341574, -123.16186847825404
"{""coordinates"": [[-123.15544772815905, 49.24946710106174], [-123.1554703691483, 49.24945717584238]], ""type"": ""LineString""}";;49.24946213845206, -123.15545904865368
"{""coordinates"": [[-123.15707186131749, 49.24666780070272], [-123.15704747129075, 49.24664561562931], [-123.1570307995649, 49.24663097605765], [-123.15700544921145, 49.24660924204229], [-123.15698809137362, 49.24659487325386], [-123.15697941274367, 49.24658777881063], [-123.15696178069444, 49.24657359029551], [-123.15694401182719, 49.24655958186823], [-123.15692583106016, 49.24654566395004], [-123.15689828612985, 49.24652510227236], [-123.15687017902972, 49.24650490116082], [-123.15685117565272, 49.24649153305709], [-123.15683189803103, 49.24647833623195], [-123.15682212196837, 49.24647178298064], [-123.1567926572524, 49.2464523932641], [-123.15677269409548, 49.24643964712117], [-123.15674240673866, 49.246420798222154], [-123.1567218951545, 49.24640841262387], [-123.15669077141693, 49.24639010455996], [-123.15665925038705, 49.24637215683576], [-123.15663791644893, 49.24636040200408], [-123.15661644569215, 49.24634882725863], [-123.15659470043444, 49.2463373428336], [-123.1565838280938, 49.246331690571495], [-123.15656180890903, 49.24632047636858], [-123.15652836895288, 49.24630397044664], [-123.1565059390217, 49.246293206551336], [-123.15647181410446, 49.24627733120735], [-123.15644897314182, 49.246266927667065], [-123.15641416329086, 49.246251691895274], [-123.15639077418278, 49.24624173884735], [-123.15636724825477, 49.24623196588458], [-123.15634358550665, 49.24622237300688], [-123.15630768020333, 49.24620829907078], [-123.1562836067055, 49.24619915649828], [-123.15625939638694, 49.24619019401052], [-123.15623491185016, 49.24618141179323]], ""type"": ""LineString""}";;49.24639670797966, -123.15666985797324
"{""coordinates"": [[-123.15596991247548, 49.24493816936947], [-123.15598649607563, 49.24496873078806]], ""type"": ""LineString""}";;49.24495345007877, -123.15597820427554
"{""coordinates"": [[-123.15567140747758, 49.24352586971227], [-123.15571687238322, 49.24378442158466]], ""type"": ""LineString""}";;49.24365514564846, -123.1556941399304
"{""coordinates"": [[-123.15597974458296, 49.2445787963336], [-123.15609143656494, 49.24491596690936]], ""type"": ""LineString""}";;49.24474738162149, -123.15603559057395
"{""coordinates"": [[-123.1566516213787, 49.2392045251067], [-123.15666557349286, 49.238837940872145]], ""type"": ""LineString""}";10' SEW. EASE.;49.23902123298942, -123.15665859743577
"{""coordinates"": [[-123.16190021502474, 49.24046287499046], [-123.16190080439091, 49.240437237715675]], ""type"": ""LineString""}";;49.24045005635307, -123.16190050970783
"{""coordinates"": [[-123.15812588776099, 49.237983192768375], [-123.15813825290572, 49.23798362560522]], ""type"": ""LineString""}";;49.237983409186796, -123.15813207033337
"{""coordinates"": [[-123.15813825290572, 49.23798362560522], [-123.1581287409659, 49.238231457725064]], ""type"": ""LineString""}";;49.238107541665144, -123.15813349693582
"{""coordinates"": [[-123.15798559755156, 49.238141701083975], [-123.15799864817492, 49.2381416832359]], ""type"": ""LineString""}";;49.23814169215994, -123.15799212286325
"{""coordinates"": [[-123.15800243370393, 49.238036433649356], [-123.1579893816737, 49.23803600173734]], ""type"": ""LineString""}";;49.23803621769335, -123.15799590768881
"{""coordinates"": [[-123.15786847247477, 49.23803436797731], [-123.15786470039875, 49.23813961754101]], ""type"": ""LineString""}";;49.23808699275917, -123.15786658643677
"{""coordinates"": [[-123.16009115682404, 49.2380195884139], [-123.16007604416119, 49.23801915959319]], ""type"": ""LineString""}";;49.23801937400354, -123.16008360049261
"{""coordinates"": [[-123.16007604416119, 49.23801915959319], [-123.16007419575429, 49.23808482747093]], ""type"": ""LineString""}";EASE.;49.23805199353206, -123.16007511995774
"{""coordinates"": [[-123.1600785466601, 49.23815588390708], [-123.16007099103466, 49.23815589437639]], ""type"": ""LineString""}";;49.23815588914174, -123.16007476884738
"{""coordinates"": [[-123.16006972338835, 49.23818872879039], [-123.1600848361029, 49.23818915761187]], ""type"": ""LineString""}";;49.23818894320113, -123.16007727974561
"{""coordinates"": [[-123.16025114934847, 49.23821230568015], [-123.1602222991092, 49.23821189593394]], ""type"": ""LineString""}";;49.23821210080705, -123.16023672422884
"{""coordinates"": [[-123.16023176777765, 49.23817050465769], [-123.16022352527477, 49.23817051608966]], ""type"": ""LineString""}";;49.23817051037368, -123.16022764652621
"{""coordinates"": [[-123.16022352527477, 49.23817051608966], [-123.16022417577803, 49.23815927112662]], ""type"": ""LineString""}";;49.23816489360814, -123.16022385052639
"{""coordinates"": [[-123.16024041779075, 49.238084138272086], [-123.16022599198098, 49.23808370851827]], ""type"": ""LineString""}";;49.23808392339518, -123.16023320488586
"{""coordinates"": [[-123.1602272813447, 49.23805762050843], [-123.1602568183678, 49.238058029300674]], ""type"": ""LineString""}";;49.238057824904544, -123.16024204985625
"{""coordinates"": [[-123.16039392193754, 49.23818197346106], [-123.16040216444225, 49.23818196201694]], ""type"": ""LineString""}";;49.238181967738996, -123.16039804318989
"{""coordinates"": [[-123.16039328021104, 49.23819591698743], [-123.16039265450472, 49.23821480787824]], ""type"": ""LineString""}";;49.238205362432836, -123.16039296735788
"{""coordinates"": [[-123.16039265450472, 49.23821480787824], [-123.16041875724355, 49.23821522139716]], ""type"": ""LineString""}";;49.2382150146377, -123.16040570587413
"{""coordinates"": [[-123.16076020477162, 49.23802898587355], [-123.16074303148055, 49.23802856000757]], ""type"": ""LineString""}";;49.23802877294056, -123.16075161812608
"{""coordinates"": [[-123.1607385873959, 49.23813650917704], [-123.16074476926863, 49.238136500575564]], ""type"": ""LineString""}";;49.2381365048763, -123.16074167833227
"{""coordinates"": [[-123.16074476926863, 49.238136500575564], [-123.16074412910108, 49.23815089386427]], ""type"": ""LineString""}";;49.23814369721992, -123.16074444918485
"{""coordinates"": [[-123.16073863410148, 49.238150901510025], [-123.16073736835743, 49.23818418569133]], ""type"": ""LineString""}";;49.23816754360068, -123.16073800122945
"{""coordinates"": [[-123.16073736835743, 49.23818418569133], [-123.16075454170243, 49.23818461155809]], ""type"": ""LineString""}";;49.23818439862471, -123.16074595502994
"{""coordinates"": [[-123.1609208868325, 49.238221710248595], [-123.16089547096223, 49.23822129588651]], ""type"": ""LineString""}";;49.23822150306755, -123.16090817889736
"{""coordinates"": [[-123.16089547096223, 49.23822129588651], [-123.16089677896954, 49.238201054755365]], ""type"": ""LineString""}";;49.23821117532094, -123.16089612496589
"{""coordinates"": [[-123.16089673221794, 49.2381866624226], [-123.16089804022387, 49.23816642129131]], ""type"": ""LineString""}";;49.23817654185696, -123.16089738622091
"{""coordinates"": [[-123.16089804022387, 49.23816642129131], [-123.16090628272579, 49.238166409811214]], ""type"": ""LineString""}";;49.23816641555126, -123.16090216147484
"{""coordinates"": [[-123.16090179329501, 49.23805307592925], [-123.16092035261937, 49.23805305007851]], ""type"": ""LineString""}";;49.23805306300388, -123.16091107295719
"{""coordinates"": [[-123.16092035261937, 49.23805305007851], [-123.16092163080152, 49.238027861601125]], ""type"": ""LineString""}";EASE.;49.23804045583982, -123.16092099171044
"{""coordinates"": [[-123.1661592340736, 49.23601486595841], [-123.16596621085192, 49.236013353370126]], ""type"": ""LineString""}";EASE.;49.23601410966427, -123.16606272246275
"{""coordinates"": [[-123.15987470827618, 49.23608724961911], [-123.15988707296242, 49.23608768226937]], ""type"": ""LineString""}";;49.23608746594424, -123.15988089061929
"{""coordinates"": [[-123.15622786466895, 49.235973096864996], [-123.15623543698547, 49.23597848377547]], ""type"": ""LineString""}";;49.23597579032023, -123.15623165082722
"{""coordinates"": [[-123.15694556715502, 49.235141097647066], [-123.15694697749996, 49.23510064407725]], ""type"": ""LineString""}";;49.23512087086216, -123.15694627232747
"{""coordinates"": [[-123.1598914809844, 49.23596803931702], [-123.15989783694543, 49.23580926431831]], ""type"": ""LineString""}";3' R.O.W.;49.23588865181767, -123.1598946589649
"{""coordinates"": [[-123.15848005009843, 49.235122199627476], [-123.15846685243872, 49.23550541551043]], ""type"": ""LineString""}";5' P.U. EASE.;49.23531380756896, -123.15847345126858
"{""coordinates"": [[-123.16150104670203, 49.22812006409337], [-123.16150419983784, 49.22803820277788]], ""type"": ""LineString""}";;49.228079133435635, -123.16150262326994
"{""coordinates"": [[-123.16150104670203, 49.22812006409337], [-123.16145786884017, 49.228146669475514]], ""type"": ""LineString""}";;49.22813336678445, -123.1614794577711
"{""coordinates"": [[-123.1582895332257, 49.224446380564075], [-123.15808901260688, 49.224443965573066]], ""type"": ""LineString""}";;49.224445173068574, -123.15818927291629
"{""coordinates"": [[-123.1559094611961, 49.22456940740956], [-123.15591552145527, 49.22440469584014]], ""type"": ""LineString""}";;49.22448705162485, -123.15591249132571
"{""coordinates"": [[-123.1562817852223, 49.22662513262427], [-123.15623989416979, 49.22662473952692]], ""type"": ""LineString""}";;49.226624936075595, -123.15626083969605
"{""coordinates"": [[-123.15623989416979, 49.22662473952692], [-123.15624053834118, 49.226611245755954]], ""type"": ""LineString""}";;49.22661799264144, -123.15624021625548
"{""coordinates"": [[-123.15535389359292, 49.22658636428367], [-123.15531200257972, 49.226585970849804]], ""type"": ""LineString""}";R.O.W.;49.226586167566744, -123.15533294808631
"{""coordinates"": [[-123.16502285406317, 49.22408783336328], [-123.16469401693537, 49.22391064605711]], ""type"": ""LineString""}";;49.223999239710196, -123.16485843549927
"{""coordinates"": [[-123.16496634960743, 49.225456274531076], [-123.16446215631322, 49.225211251699456]], ""type"": ""LineString""}";;49.225333763115266, -123.16471425296031
"{""coordinates"": [[-123.16400880300105, 49.22517546541155], [-123.16447648585628, 49.225183795726366]], ""type"": ""LineString""}";10' R.O.W.;49.22517963056896, -123.16424264442867
"{""coordinates"": [[-123.16452864630901, 49.225175175941146], [-123.16463551058402, 49.22468747107625]], ""type"": ""LineString""}";10' EASE.;49.2249313235087, -123.16458207844651
"{""coordinates"": [[-123.15631968820934, 49.21809888470707], [-123.15648071541135, 49.21821379726686]], ""type"": ""LineString""}";R.O.W.;49.218156340986965, -123.15640020181034
"{""coordinates"": [[-123.15584133715429, 49.22151965234817], [-123.15544897122075, 49.22151469390691]], ""type"": ""LineString""}";;49.22151717312754, -123.15564515418751
"{""coordinates"": [[-123.1599615598207, 49.220011638276475], [-123.15988296234316, 49.21970320907942]], ""type"": ""LineString""}";EASE.;49.21985742367795, -123.15992226108193
"{""coordinates"": [[-123.15988296234316, 49.21970320907942], [-123.15970194818917, 49.219568989075185]], ""type"": ""LineString""}";;49.219636099077306, -123.15979245526617
"{""coordinates"": [[-123.15970194818917, 49.219568989075185], [-123.15959114578366, 49.21949359087273]], ""type"": ""LineString""}";;49.21953128997396, -123.1596465469864
"{""coordinates"": [[-123.16310450332703, 49.21797290693869], [-123.16378161060068, 49.21882829951195]], ""type"": ""LineString""}";;49.21840060322532, -123.16344305696387
"{""coordinates"": [[-123.16587562118843, 49.22079387407524], [-123.166108563059, 49.22104179996458]], ""type"": ""LineString""}";;49.22091783701992, -123.16599209212372
"{""coordinates"": [[-123.15533536968813, 49.21732931703568], [-123.15531822898228, 49.21733698607325]], ""type"": ""LineString""}";;49.21733315155446, -123.1553267993352
"{""coordinates"": [[-123.16081849667738, 49.216392726741915], [-123.16288937768226, 49.217701103258136]], ""type"": ""LineString""}";;49.217046915000026, -123.16185393717981
"{""coordinates"": [[-123.16288937768226, 49.217701103258136], [-123.16310450332703, 49.21797290693869]], ""type"": ""LineString""}";;49.21783700509841, -123.16299694050466
"{""coordinates"": [[-123.1554142132463, 49.2107800220425], [-123.15508884689572, 49.21057583447169]], ""type"": ""LineString""}";;49.2106779282571, -123.15525153007101
"{""coordinates"": [[-123.1483953411499, 49.273577325630555], [-123.14838709274463, 49.27357733622359]], ""type"": ""LineString""}";;49.27357733092707, -123.14839121694726
"{""coordinates"": [[-123.14958110226162, 49.273602386476675], [-123.14958427846375, 49.27352073300121]], ""type"": ""LineString""}";EASE.;49.273561559738944, -123.14958269036268
"{""coordinates"": [[-123.15082023620248, 49.27352961474167], [-123.15124290732986, 49.273509704611676]], ""type"": ""LineString""}";;49.273519659676666, -123.15103157176617
"{""coordinates"": [[-123.15082852573705, 49.273543096710384], [-123.15083169924574, 49.2734612363132]], ""type"": ""LineString""}";EASE.;49.27350216651179, -123.15083011249142
"{""coordinates"": [[-123.15083169924574, 49.2734612363132], [-123.15082345086074, 49.273461247080135]], ""type"": ""LineString""}";;49.273461241696666, -123.15082757505323
"{""coordinates"": [[-123.15243043672025, 49.27345284166656], [-123.15200878511132, 49.27347315958354]], ""type"": ""LineString""}";;49.27346300062505, -123.15221961091578
"{""coordinates"": [[-123.14610726792662, 49.27620780858566], [-123.14527898714299, 49.27646613332017]], ""type"": ""LineString""}";;49.27633697095291, -123.1456931275348
"{""coordinates"": [[-123.14889279933018, 49.27489109005544], [-123.14889407660381, 49.27485869672838]], ""type"": ""LineString""}";;49.27487489339191, -123.14889343796699
"{""coordinates"": [[-123.14877377886309, 49.27485706163798], [-123.14878546440598, 49.27485704659161]], ""type"": ""LineString""}";;49.2748570541148, -123.14877962163453
"{""coordinates"": [[-123.14861769325293, 49.27485459992489], [-123.14862937879533, 49.27485458489431]], ""type"": ""LineString""}";;49.274854592409596, -123.14862353602413
"{""coordinates"": [[-123.14862937879533, 49.27485458489431], [-123.14863133013843, 49.27481770210282]], ""type"": ""LineString""}";;49.27483614349856, -123.1486303544669
"{""coordinates"": [[-123.1485090796955, 49.27485249077536], [-123.14850780214286, 49.27488487510328]], ""type"": ""LineString""}";;49.27486868293932, -123.14850844091917
"{""coordinates"": [[-123.15099073588158, 49.27645873881691], [-123.15099456102688, 49.276360686266194]], ""type"": ""LineString""}";;49.27640971254155, -123.15099264845423
"{""coordinates"": [[-123.14934741411307, 49.27545245086845], [-123.14934429597321, 49.27553984316568]], ""type"": ""LineString""}";;49.27549614701707, -123.14934585504314
"{""coordinates"": [[-123.14935116991666, 49.275539834281], [-123.14935122304475, 49.27555287723714]], ""type"": ""LineString""}";;49.27554635575907, -123.1493511964807
"{""coordinates"": [[-123.14935122304475, 49.27555287723714], [-123.14934434909947, 49.27555288612184]], ""type"": ""LineString""}";;49.27555288167949, -123.1493477860721
"{""coordinates"": [[-123.14934365285377, 49.2755681698487], [-123.14935052815909, 49.27556861072176]], ""type"": ""LineString""}";;49.27556839028523, -123.14934709050644
"{""coordinates"": [[-123.14934796839665, 49.275604163019096], [-123.14934604760086, 49.275646442891954]], ""type"": ""LineString""}";;49.275625302955525, -123.14934700799877
"{""coordinates"": [[-123.14933642405926, 49.27564645532999], [-123.14933580200784, 49.27566354699372]], ""type"": ""LineString""}";;49.27565500116185, -123.14933611303354
"{""coordinates"": [[-123.14937724029656, 49.27571880484994], [-123.14937910929092, 49.275663931779]], ""type"": ""LineString""}";;49.27569136831447, -123.14937817479374
"{""coordinates"": [[-123.14937958990869, 49.27560456290766], [-123.1493815172724, 49.27556902042239]], ""type"": ""LineString""}";;49.27558679166502, -123.14938055359055
"{""coordinates"": [[-123.14938903107478, 49.27555326912658], [-123.14938146973495, 49.275553278902194]], ""type"": ""LineString""}";;49.275553274014385, -123.14938525040486
"{""coordinates"": [[-123.14938146973495, 49.275553278902194], [-123.14938210399325, 49.27554023505741]], ""type"": ""LineString""}";;49.27554675697981, -123.1493817868641
"{""coordinates"": [[-123.148753871952, 49.276461667128046], [-123.14873393579153, 49.27646124303215]], ""type"": ""LineString""}";;49.2764614550801, -123.14874390387176
"{""coordinates"": [[-123.14878411786763, 49.27646162818636], [-123.14878538580795, 49.27642609556076]], ""type"": ""LineString""}";;49.27644386187356, -123.1487847518378
"{""coordinates"": [[-123.15365926623402, 49.26370443735332], [-123.15366629785207, 49.263534418562024]], ""type"": ""LineString""}";EASE.;49.26361942795767, -123.15366278204304
